ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
XGBoost,0.9389671361502347,0.9810214678671998,0.937000674624482,0.9389671361502347,0.9370991730517699,0.8288764434061253
RandomForest,0.9248826291079812,0.9792762315224065,0.9216437500145189,0.9248826291079812,0.9217039050948165,0.7874886599734309
DecisionTree,0.9014084507042254,0.8580007157845122,0.8983159862087272,0.9014084507042254,0.8994111261080323,0.7251667385247785
LogisticRegression,0.8849765258215962,0.9613945194416479,0.8892931330942633,0.8849765258215962,0.88547065652584,0.6834391969099947
KNN,0.8708920187793427,0.939320475073704,0.8614731837795347,0.8708920187793427,0.8629054427677547,0.6190907309211525
GaussianNB,0.8098591549295775,0.8759007034711551,0.8610519935189603,0.8098591549295775,0.8253672062944524,0.5736806019351541
